imageid,frame,parameter
1,Fo,FvFm
2,Fm,FvFm
3,AbsR,AbsR
4,AbsN,AbsN
5,Fp,FvFm
6,Fmp,FvFm
7,Fp,t40_ALon
8,Fmp,t40_ALon
9,Fp,t60_ALon
10,Fmp,t60_ALon
11,Fp,t80_ALon
12,Fmp,t80_ALon
13,Fp,t100_ALon
14,Fmp,t100_ALon
15,Fp,t120_ALon
16,Fmp,t120_ALon
17,Fp,t140_ALon
18,Fmp,t140_ALon
19,Fp,t160_ALon
20,Fmp,t160_ALon
21,Fp,t180_ALon
22,Fmp,t180_ALon
23,Fp,t200_ALon
24,Fmp,t200_ALon
25,Fp,t220_ALon
26,Fmp,t220_ALon
27,Fp,t240_ALon
28,Fmp,t240_ALon
29,Fp,t260_ALon
30,Fmp,t260_ALon
31,Fp,t280_ALon
32,Fmp,t280_ALon
33,Fp,t300_ALon
34,Fmp,t300_ALon
